facility_name,longitude,latitude,description,address1,city,state,fac_zip
Morris Heights Health Center,"-73.915924","40.805325",Diagnostic and Treatment Center Extension Clinic,625 East 137th Street,Bronx,New York,"10454"
Intermediate School 136,"-73.947716","40.817226",School Based Hospital Extension Clinic,6 Edgecomb Avenue,New York,New York,"10032"
DCI-Narrows Kidney Center,"-74.009514","40.630585",Diagnostic and Treatment Center Extension Clinic,6518 Fort Hamilton Parkway,Brooklyn,New York,"11209"
Medalliance Medical Health Services-Washington Heights,"-73.916266","40.86969",Diagnostic and Treatment Center Extension Clinic,5041 Broadway,New York,New York,"10034"
Farrell Community Health Center,"-73.945274","40.834972",Hospital Extension Clinic,610 West 158th Street,New York,New York,"10032"
Rogosin Brookdale Campus,"-73.914345","40.656487",Diagnostic and Treatment Center Extension Clinic,9701 Church Avenue,Brooklyn,New York,"11212"
Harlem Children's Zone Promise Academy 2,"-73.940864","40.806142",School Based Diagnostic and Treatment Center Extension Clinic,35 E. 125th Street,New York,New York,"10035"
Ralph Avenue Health Center,"-73.922517","40.668624",Diagnostic and Treatment Center Extension Clinic,599 Ralph Avenue,Brooklyn,New York,"11233"
BronxCare Hospital Center,"-73.911545","40.843609",Hospital,1650 Grand Concourse,Bronx,New York,"10457"
South Bronx Campus,"-73.911102","40.818226",School Based Hospital Extension Clinic,701 St. Ann's Ave,Bronx,New York,"10455"
Fifth Avenue Surgery Center,"-73.960388","40.781437",Diagnostic and Treatment Center,1049 Fifth Avenue,New York,New York,"10028"
Bay Park Dialysis Center,"-73.829187","40.879676",Diagnostic and Treatment Center Extension Clinic,801 Co Op City Boulevard,Bronx,New York,"10475"
Retinal Ambulatory Surgery Center of New York Inc,"-73.958801","40.775749",Diagnostic and Treatment Center,138140 East 80th Street,New York,New York,"10075"
University Eye Center,"-73.982727","40.754318",Diagnostic and Treatment Center,33 West 42nd St,New York,New York,"10036"
Walton Family Practice,"-73.909203","40.849613",Diagnostic and Treatment Center Extension Clinic,1894 Walton Ave,Bronx,New York,"10453"
Mental Health Clinic,"-73.903114","40.832577",Hospital Extension Clinic,1316 Fulton Avenue,Bronx,New York,"10456"
PS 24,"-74.00473","40.65274",School Based Hospital Extension Clinic,427 38th Street,Brooklyn,New York,"11232"
Washington Heights Health Center,"-73.939987","40.841106",Diagnostic and Treatment Center Extension Clinic,600 West 168th St,New York,New York,"10032"
Lenox Hill Hosp Center for Mental Health,"-73.957077","40.770443",Hospital Extension Clinic,1430 Second Avenue,New York,New York,"10021"
Yeled V'Yalda Childhood Center,"-73.95665","40.701416",School Based Diagnostic and Treatment Center Extension Clinic,99 Heyward Street,Brooklyn,New York,"11211"
Wyckoff Doctors at Myrtle,"-73.919785","40.69873",Hospital Extension Clinic,1419 Myrtle Avenue,Brooklyn,New York,"11206"
JGB Rehabilitation Corp,"-73.98805","40.774257",Diagnostic and Treatment Center,80 West End Avenue,New York,New York,"10023"
Morris Heights Health Center Mobile Van,"-73.916962","40.863728",Diagnostic and Treatment Center Extension Clinic,3875 Ninth Avenue,New York,New York,"10034"
PS 38,"-73.94429","40.788786",School Based Hospital Extension Clinic,232 East 103rd Street,Manhattan,New York,"10029"
Surgicare of Westside,"-73.990268","40.764646",Diagnostic and Treatment Center,438 West 51st Street,New York,New York,"10019"
X158,"-73.900368","40.827721",School Based Diagnostic and Treatment Center Extension Clinic,800 Home Street,Bronx,New York,"10456"
Public Health Solutions Fort Greene Center,"-73.982254","40.691814",Diagnostic and Treatment Center,295 Flatbush Avenue Extension,Brooklyn,New York,"11201"
FMS-Eastchester,"-73.842687","40.849448",Diagnostic and Treatment Center Extension Clinic,1776 Eastchester Road,Bronx,New York,"10461"
Mount Sinai Morningside,"-73.961639","40.805912",Hospital,1111 Amsterdam Avenue,New York,New York,"10025"
Ahava Medical and Rehabilitation Center,"-73.940971","40.70039",Diagnostic and Treatment Center Extension Clinic,16-18 Sumner Place,Brooklyn,New York,"11206"
PS 457,"-73.917831","40.8321",School Based Diagnostic and Treatment Center Extension Clinic,1116 Sheridan Avenue,Bronx,New York,"10456"
Columbus Center for Medical Rehabilitation,"-73.922478","40.836143",Diagnostic and Treatment Center,1221 Jerome Avenue,Bronx,New York,"10452"
Brookdale Hospital Medical Center,"-73.912579","40.655066",Hospital,1 Brookdale Plaza,Brooklyn,New York,11212-3139
Weill Cornell Imaging at New York Presbyterian,"-73.954422","40.765354",Diagnostic and Treatment Center,"520 East 70th Street, Level J-0",New York,New York,"10021"
Medisys Family Care - East New York,"-73.881445","40.678679",Hospital Extension Clinic,3080 Atlantic Avenue,Brooklyn,New York,"11208"
P. S. 97,"-73.975227","40.718727",School Based Diagnostic and Treatment Center Extension Clinic,525 E Houston Street,New York,New York,"10002"
Community Healthcare Network East New York,"-73.89918","40.676003",Diagnostic and Treatment Center Extension Clinic,2581 Atlantic Avenue,Brooklyn,New York,"11207"
Wingate Dialysis,"-73.942909","40.660442",Diagnostic and Treatment Center Extension Clinic,550 Kingston Avenue,Brooklyn,New York,"11203"
West Midtown Medical Group,"-73.99382","40.753273",Diagnostic and Treatment Center,311 West 35th Street,New York,New York,"10001"
"La Casa de Salud, Inc.","-73.909103","40.684284",Diagnostic and Treatment Center Extension Clinic,1420 Bushwick Avenue,Brooklyn,New York,"11207"
Morris Heights Health Center,"-73.909782","40.85429",Diagnostic and Treatment Center Extension Clinic,55-69 West Burnside Avenue,Bronx,New York,"10453"
Citadel Renal Center LLC,"-73.901619","40.868374",Diagnostic and Treatment Center,100 West Kingsbridge Road,Bronx,New York,"10468"
JHS 22 (Jordan L Mott),"-73.913681","40.832264",School Based Diagnostic and Treatment Center Extension Clinic,E 167th St & College,Bronx,New York,"10456"
New York Presbyterian / Lower Manhattan Cancer Center,"-74.011078","40.713146",Hospital Extension Clinic,21 West Broadway,New York,New York,"10007"
P S 95,"-73.890907","40.883423",School Based Hospital Extension Clinic,3961 Hillman Avenue,Bronx,New York,"10463"
Lenox Health Greenwich Village,"-74.000488","40.737576",Hospital,30 Seventh Avenue,New York,New York,"10011"
HSS East River Professional Building,"-73.952316","40.766312",Hospital Extension Clinic,523 East 72nd Street,New York,New York,"10021"
Planned Parenthood Staten Island Health Center,"-74.077248","40.641933",Diagnostic and Treatment Center Extension Clinic,23 Hyatt Street,Staten Island,New York,"10301"
Martin Luther King Jr High School,"-73.984856","40.774303",School Based Hospital Extension Clinic,122 Amsterdam Ave,New York,New York,"10024"
Manhattan Avenue Health Center,"-73.954491","40.732021",Hospital Extension Clinic,960 Manhattan Avenue,Brooklyn,New York,"11222"
Mount Sinai Kidney Center,"-73.931943","40.795041",Hospital Extension Clinic,520 East 117th Street,New York,New York,"10035"
Metro Community Health Center - NYU Dental School,"-73.978391","40.73803",Diagnostic and Treatment Center Extension Clinic,"335 East 24th Street, Suite 1B",New York,New York,"10010"
Yeled V'Yalda Childhood Center,"-73.969841","40.619057",School Based Diagnostic and Treatment Center Extension Clinic,1212 Ocean Parkway,Brooklyn,New York,"11218"
NYP/Queens Eye Care Center,"-73.794952","40.73914",Hospital Extension Clinic,"174-15 Horace Harding Expressway, Ground Floor",Fresh Meadows,New York,"11365"
Washington Heights ACNC-Audubon,"-73.939034","40.839462",Hospital Extension Clinic,21 Audubon Avenue,New York,New York,"10032"
Family Health Center of Harlem,"-73.943626","40.801773",Diagnostic and Treatment Center,1824 Madison Avenue,New York,New York,"10034"
Thurgood Marshall Academy,"-73.944115","40.815411",School Based Hospital Extension Clinic,200-214 West 135th Street,New York,New York,"10030"
Wm F Ryan Community Health Center Inc-NENA,"-73.980034","40.721508",Diagnostic and Treatment Center Extension Clinic,279 East Third Street,New York,New York,"10009"
Memorial Sloan Kettering Brooklyn Infusion Center,"-73.979019","40.684727",Hospital Extension Clinic,557 Atlantic Avenue,Brooklyn,New York,"11217"
Charles B Wang Community Health Center Inc,"-73.822624","40.751195",Diagnostic and Treatment Center Extension Clinic,137-43 45th Avenue,Flushing,New York,"11355"
The Bronx Center for Renal Dialysis,"-73.861229","40.826546",Diagnostic and Treatment Center,1010 Underhill Avenue,Bronx,New York,"10472"
Mount Sinai Downtown Union Square,"-73.990471","40.734909",Hospital Extension Clinic,10 Union Square East,New York,New York,"10003"
Metro Healthcare Partners,"-73.94174","40.59873",Diagnostic and Treatment Center,3500 Nostrand Avenue,Brooklyn,New York,"11235"
Rogosin Kidney Center-Queens Dialysis,"-73.898277","40.740467",Diagnostic and Treatment Center Extension Clinic,66-20 Queens Blvd,Woodside,New York,"11377"
West Side GI,"-73.994598","40.769203",Diagnostic and Treatment Center,619 West 54th Street,New York,New York,"10019"
Ana's Place Clinic,"-73.857872","40.899218",Diagnostic and Treatment Center Extension Clinic,4380 Bronx Boulevard,Bronx,New York,"10466"
Odyssey House East 6th St Clinic,"-73.988029","40.727261",Diagnostic and Treatment Center Extension Clinic,309-11 East 6th Street,New York,New York,"10003"
The Preston Robert Tisch Center for Men's Health at NYU Langone,"-73.972992","40.761307",Hospital Extension Clinic,555 Madison Avenue,New York,New York,"10016"
I S 90,"-73.935829","40.83968",School Based Diagnostic and Treatment Center Extension Clinic,21 Jumel Place,New York,New York,"10032"
Workmens Circle Dialysis Center,"-73.837212","40.87442",Diagnostic and Treatment Center,3155 Grace Avenue,Bronx,New York,"10469"
Women's Medical Center at Corona,"-73.866678","40.734802",Diagnostic and Treatment Center Extension Clinic,59-17 Junction Boulevard,Corona,New York,"11368"
Eastchester Road Dialysis Center,"-73.845779","40.845093",Diagnostic and Treatment Center Extension Clinic,1515 Jarrett Place,Bronx,New York,"10461"
NYP/Queens Wound Healing Center,"-73.811638","40.706882",Hospital Extension Clinic,144-45 87th Avenue,Jamaica,New York,"11435"
"ODA Primary Health Care Network, Inc.","-73.9533","40.706772",Diagnostic and Treatment Center Extension Clinic,329 Hewes Street,Brooklyn,New York,"11211"
Eye Surgery Center of New York,"-73.885819","40.875186",Diagnostic and Treatment Center,"3130 Grand Concourse, Suite B5",Bronx,New York,"10458"
Ditmas Park Dialysis Center,"-73.957629","40.640263",Diagnostic and Treatment Center,2107 Ditmas Avenue,Brooklyn,New York,"11226"
Catholic Managed Long Term Care,"-73.946198","40.801136",Diagnostic and Treatment Center,1432 Fifth Avenue,New York,New York,"10026"
CHN - Tremont,"-73.896172","40.846844",Diagnostic and Treatment Center Extension Clinic,4215 Third Avenue,Bronx,New York,"10457"
Maimonides Sleep Disorder Clinic,"-74.014145","40.634457",Hospital Extension Clinic,6405 7th Avenue,Brooklyn,New York,"11219"
Avantus Irving Place Dialysis Center,"-73.98813","40.73533",Diagnostic and Treatment Center,"120 East 16th Street, 6th Floor",New York,New York,"10003"
99 Fort Washington,"-73.943787","40.83857",Hospital Extension Clinic,99 Fort Washington Avenue,New York,New York,"10032"
BronxCare Tiffany Medical and Pediatric Practice,"-73.89357","40.817955",Diagnostic and Treatment Center Extension Clinic,853 Tiffany Street,Bronx,New York,"10459"
"Union Community Health Center, Site 6","-73.865236","40.85027",Diagnostic and Treatment Center Extension Clinic,2016 Bronxdale Avenue,Bronx,New York,"10457"
CHN - Helen B Atkinson Center,"-73.949532","40.801132",Diagnostic and Treatment Center Extension Clinic,81 West 115th Street,New York,New York,"10026"
Banana Kelly High School,"-73.897606","40.817219",School Based Diagnostic and Treatment Center Extension Clinic,965 Longwood Avenue,Bronx,New York,"10459"
Harry S. Truman High School,"-73.833755","40.8745",School Based Diagnostic and Treatment Center Extension Clinic,750 Baychester Avenue,Bronx,New York,"10475"
Housing Works Health Services III,"-73.992429","40.754327",Diagnostic and Treatment Center Extension Clinic,"301 West 37th Street, 4th floor",New York,New York,"10018"
Richmond Hill Clinic,"-73.820709","40.699528",Diagnostic and Treatment Center Extension Clinic,130-20 89th Road,Richmond Hill,New York,"11418"
Community Mental Health Center,"-73.753983","40.600086",Hospital Extension Clinic,521 Beach 20th Street,Far Rockaway,New York,"11691"
Ozone Park Dialysis,"-73.838834","40.679795",Diagnostic and Treatment Center Extension Clinic,100-02 Rockaway Boulevard,Ozone Park,New York,"11417"
Charles B Rangel Comm Health Center,"-73.954613","40.819843",Hospital Extension Clinic,534 A West 135th Street,New York,New York,"10031"
Sterling Health Center,"-73.951744","40.672665",Diagnostic and Treatment Center Extension Clinic,803 Sterling Place,Brooklyn,New York,"11216"
Washington Irving High School,"-73.987511","40.735603",School Based Diagnostic and Treatment Center Extension Clinic,40 Irving Place,New York,New York,"10003"
Mount Sinai Brooklyn,"-73.94323","40.617954",Hospital,3201 Kings Highway,Brooklyn,New York,"11234"
CHN Mobile Van VII,"-73.805962","40.696922",Mobile Diagnostic and Treatment Center Extension Clinic,97-04 Sutphin Boulevard,Jamaica,New York,"11435"
BMS Dental Genesis,"-73.899483","40.666916",Diagnostic and Treatment Center Extension Clinic,330 Hinsdale Street,Brooklyn,New York,"11207"
Hospital for Special Surgery,"-73.954185","40.765381",Hospital,535 E 70th Street,New York,New York,"10021"
LMRC Mobile Unit,"-73.985405","40.640945",School Based Diagnostic and Treatment Center Extension Clinic,1312 38th Street,Brooklyn,New York,"11218"
Main Street Radiology at Bayside,"-73.865762","40.710342",Diagnostic and Treatment Center Extension Clinic,83-14 Cooper Avenue,Glendale,New York,"11385"
PS 169 Sunset Park,"-74.00193","40.64603",School Based Hospital Extension Clinic,4305 7th Avenue,Brooklyn,New York,"11232"
Brooklyn Eye Surgery Center,"-73.963158","40.625046",Diagnostic and Treatment Center,1301 Avenue J,Brooklyn,New York,"11230"
City Wide Health Facility Inc.,"-73.987297","40.606144",Diagnostic and Treatment Center,105 Kings Highway,Brooklyn,New York,"11223"
HSS ASC of Manhattan,"-73.961861","40.764156",Diagnostic and Treatment Center,1233 Second Avenue,New York,New York,"10065"
Quality Kidney Care,"-73.781094","40.595244",Diagnostic and Treatment Center,50-15 Beach Channel Drive,Far Rockaway,New York,"11691"
CHN-Long Island City Health Center,"-73.936974","40.759594",Diagnostic and Treatment Center Extension Clinic,36-11 21st Street,Long Island City,New York,"11106"
ColumbiaDoctors/NewYork-Presbyterian Imaging,"-73.9804","40.76092",Diagnostic and Treatment Center,51 West 51st Street,New York,New York,"10019"
South Bronx Health Center,"-73.901321","40.820606",Hospital Extension Clinic,871 Prospect Avenue,Bronx,New York,"10459"
Dyckman Family Health Center,"-73.923538","40.862026",Diagnostic and Treatment Center Extension Clinic,175 Nagle Avenue,New York,New York,"10034"
FMS-St. Alban's Dialysis Center,"-73.770439","40.682812",Diagnostic and Treatment Center Extension Clinic,172-70 Baisley Blvd,Jamaica,New York,"11434"
NYU Langone Rusk Ambulatory Care Center,"-73.974976","40.747627",Hospital Extension Clinic,240 East 38th Street,New York,New York,"10016"
PS 11 Wt Harris/The Clinton School,"-74.000763","40.744518",School Based Diagnostic and Treatment Center Extension Clinic,320 West 21st Street,New York,New York,"10011"
St. Nicholas Houses Child Health Clinic,"-73.949707","40.811333",Diagnostic and Treatment Center Extension Clinic,281 West 127th Street,New York,New York,"10027"
Brookdale Urgent Care and Family Care Center,"-73.912735","40.654362",Hospital Extension Clinic,1235 Linden Blvd,Brooklyn,New York,"11212"
Bronxchester Home Training,"-73.842709","40.84792",Diagnostic and Treatment Center Extension Clinic,34 Marconi Street,Bronx,New York,"10461"
PS 243- The Weeksville School,"-73.934955","40.675887",School Based Hospital Extension Clinic,1580 Dean Street,Brooklyn,New York,"11213"
Maimonides Pediatric Care 57th Street,"-73.99646","40.630432",Hospital Extension Clinic,1301 57th St,Brooklyn,New York,"11219"
Millenium Ambulatory Surgery Center,"-73.956863","40.627888",Diagnostic and Treatment Center,1408 Ocean Avenue,Brooklyn,New York,"11230"
The Brooklyn Green School,"-73.92798","40.674521",School Based Hospital Extension Clinic,130 Rochester Avenue,Brooklyn,New York,"11213"
Mobile Medical Unit,"-73.991211","40.726082",Diagnostic and Treatment Center Extension Clinic,8 East Third Street,New York,New York,"10003"
Springfield Dialysis Center,"-73.753654","40.67923",Diagnostic and Treatment Center Extension Clinic,134-35 Springfield Boulevard,Laurelton,New York,"11413"
Frederick Douglas Academy,"-73.937134","40.824013",School Based Diagnostic and Treatment Center Extension Clinic,2581 Seventh Avenue,New York,New York,"10039"
Union Community Health Center Ext Clinic,"-73.89151","40.853554",Diagnostic and Treatment Center Extension Clinic,4487 Third Avenue,Bronx,New York,"10457"
Sheepshead Bay Surgery Center,"-73.952667","40.606426",Diagnostic and Treatment Center,2269 Ocean Avenue,Brooklyn,New York,"11229"
PS 38,"-73.944283","40.788795",School Based Hospital Extension Clinic,232 East 103rd Street,New York,New York,"10029"
Myrtle Avenue Family Health Center,"-73.832008","40.70023",Diagnostic and Treatment Center Extension Clinic,117-11 Myrtle Avenue,Richmond Hill,New York,"11418"
WCINYP at 53 Beekman,"-74.005252","40.709961",Diagnostic and Treatment Center Extension Clinic,53 Beekman Street,New York,New York,"10038"
PS 155,"-73.810173","40.679634",School Based Hospital Extension Clinic,130-02 115th Ave,South Ozone Park,New York,"11420"
HSS Physiatry & Pain Management,"-73.953278","40.769276",Hospital Extension Clinic,429 East 75th Street,New York,New York,"10021"
Premium Health Women's Health Center,"-73.983772","40.633003",Diagnostic and Treatment Center Extension Clinic,4514 16th Avenue,Brooklyn,New York,"11204"
"Queens Dialysis at The Pavilion, LLC","-73.823189","40.764179",Diagnostic and Treatment Center,36-17 Parsons Boulevard,Flushing,New York,"11354"
Mt. Sinai Adult Treatment Program,"-73.951065","40.794212",Hospital Extension Clinic,1249 Fifth Avenue,New York,New York,"10029"
PS 503 and Ps 506,"-74.019135","40.642139",School Based Hospital Extension Clinic,330 59th Street,Brooklyn,New York,"11220"
PS 29 The Melrose School,"-73.916962","40.821999",School Based Diagnostic and Treatment Center Extension Clinic,758 Courtlandt Avenue,Bronx,New York,"10451"
Queens Surgical Center,"-73.832065","40.762018",Diagnostic and Treatment Center,36-36 Main Street,Flushing,New York,"11354"
Care For the Homeless at The Living Room,"-73.889814","40.816823",Diagnostic and Treatment Center Extension Clinic,800 Barretto Street,Bronx,New York,"10474"
START Treatment & Recovery Centers,"-73.931503","40.84742",Diagnostic and Treatment Center Extension Clinic,500 West 180th Street,New York,New York,"10033"
PS 105,"-73.866257","40.852451",School Based Hospital Extension Clinic,725 Brady Avenue,Bronx,New York,"10462"
Wards Island Family Health Center,"-73.933804","40.789506",Diagnostic and Treatment Center Extension Clinic,13 Hell Gate Circle,New York,New York,"10035"
Doral Dialysis Center,"-73.906815","40.670455",Diagnostic and Treatment Center,1797 Pitkin Avenue,Brooklyn,New York,"11212"
Care For the Homeless,"-73.910332","40.850643",Diagnostic and Treatment Center,1911-1921 Jerome Avenue,Bronx,New York,"10453"
Memorial Sloan Kettering Breast and Diagnostic Imaging Center,"-73.960243","40.764553",Hospital Extension Clinic,300 East 66th Street,New York,New York,10065-6800
George Wingate Educational Campus,"-73.943711","40.658704",School Based Hospital Extension Clinic,600 Kingston Avenue,Brooklyn,New York,"11203"
NYU Langone Center for Women's Imaging,"-73.979996","40.745899",Hospital Extension Clinic,221 Lexington Ave,New York,New York,"10016"
HSS River Terrace,"-73.952576","40.766422",Hospital Extension Clinic,519 East 72nd Street,New York,New York,"10021"
"Smile New York Outreach, LLC","-73.886083","40.839259",Diagnostic and Treatment Center,1808 Crotona Parkway,Bronx,New York,"10460"
Help One,"-73.900139","40.667889",Diagnostic and Treatment Center Extension Clinic,515 Blake Avenue,Brooklyn,New York,"11207"
Elmhurst Voyages High School,"-73.871391","40.743252",School Based Diagnostic and Treatment Center Extension Clinic,45-10 94th Street,Queens,New York,"11377"
Woodhull Medical & Mental Health Center,"-73.941711","40.700535",Hospital,760 Broadway,Brooklyn,New York,"11206"
Brownsville Multi-Service Family Health Center,"-73.909813","40.665806",Diagnostic and Treatment Center,592 Rockaway Avenue,Brooklyn,New York,"11212"
New York City Department of Health and Mental Hygiene,"-73.982254","40.691814",Diagnostic and Treatment Center,295 Flatbush Ave Ext,Brooklyn,New York,"11201"
Memorial Hospital for Cancer and Allied Diseases,"-73.956812","40.764386",Hospital,1275 York Avenue,New York,New York,"10065"
Long Island Jewish Medical Center,"-73.707576","40.753797",Hospital,270-05 76th Avenue,New Hyde Park,New York,"11040"
Brooklyn United Methodist Continuum Services,"-73.860937","40.671229",Diagnostic and Treatment Center,1485 Dumont Ave,Brooklyn,New York,"11208"
Wyckoff Heights Medical Center Pediatric Center,"-73.919565","40.698678",Hospital Extension Clinic,1411-1417 Myrtle Avenue,Brooklyn,New York,"11127"
Dental Center,"-73.955132","40.670677",Hospital Extension Clinic,1536 Bedford Avenue,Brooklyn,New York,"11238"
Sumner Avenue Child Health Clinic,"-73.94101","40.698071",Diagnostic and Treatment Center Extension Clinic,47 Marcus Garvey Blvd,Brooklyn,New York,"11206"
South Queens Community Center,"-73.785919","40.688362",Diagnostic and Treatment Center Extension Clinic,114-02 Guy Brewer Boulevard,Jamaica,New York,"11434"
"Rockaways ASC Development, LLC","-73.826469","40.583018",Diagnostic and Treatment Center,105-20 Rockaway Beach Boulevard,Rockaway Park,New York,"11694"
Montefiore Med Grp Aging In America,"-73.845474","40.857277",Hospital Extension Clinic,1500 Pelham Parkway,Bronx,New York,"10461"
Ridgewood Communicare Center,"-73.905071","40.702795",Diagnostic and Treatment Center Extension Clinic,769 Onderdonk Avenue,Ridgewood,New York,"11385"
Beth Israel Med Center #2,"-73.938629","40.804955",Hospital Extension Clinic,103 East 125th Street,New York,New York,"10035"
PS 86,"-73.802773","40.707926",School Based Diagnostic and Treatment Center Extension Clinic,87-41 Parson Boulevard,Jamaica,New York,"11432"
Ridge Care Dialysis,"-73.903816","40.699943",Diagnostic and Treatment Center Extension Clinic,17-34 Hancock Street,Queens,New York,"11385"
"Ahava Medical and Rehabilitation Center, LLC","-73.945923","40.622116",Diagnostic and Treatment Center,2555 Nostrand Avenue,Brooklyn,New York,"11210"
Mobile Medical Unit,"-73.946495","40.807384",Mobile Diagnostic and Treatment Center Extension Clinic,123-125 W. 124th Street,New York,New York,"10027"
Urban Health Plan,"-73.892036","40.824715",Diagnostic and Treatment Center,1065 Southern Boulevard,Bronx,New York,"10459"
ODA Primary Health Care Network Mobile Van Extension Clinic,"-73.958666","40.698165",Mobile Diagnostic and Treatment Center Extension Clinic,35 Franklin Avenue,Brooklyn,New York,"11205"
Mott Hall Campus,"-73.917565","40.828314",School Based Diagnostic and Treatment Center Extension Clinic,250 East 164th Street,Bronx,New York,"10456"
NYU Langone Perlmutter Cancer Center - Bayridge,"-74.027108","40.620428",Hospital Extension Clinic,8721 5th Avenue,Brooklyn,New York,"11209"
"La Casa De Salud, Inc.","-73.90036","40.822506",Diagnostic and Treatment Center,966 Prospect Avenue,Bronx,New York,"10459"
Is286/172,"-73.955193","40.815258",School Based Diagnostic and Treatment Center Extension Clinic,509 W 129th Street,New York,New York,"10037"
Brooklyn Community Dialysis,"-74.013376","40.634033",Diagnostic and Treatment Center Extension Clinic,730 64th Street,Brooklyn,New York,"11220"
Midwood Dialysis,"-73.954315","40.615143",Diagnostic and Treatment Center Extension Clinic,1915 Ocean Avenue,Brooklyn,New York,"11230"
NYU Langone Outpatient Surgery Center,"-73.971489","40.746284",Hospital Extension Clinic,339 East 38th Street,New York,New York,"10016"
East Harlem Council for Human Services Inc,"-73.936569","40.802544",Diagnostic and Treatment Center,2265 Third Avenue,New York,New York,"10035"
Brian Picolo/Intermediate School #53 School Clinic,"-73.749321","40.604053",School Based Hospital Extension Clinic,1045 Nameoke Street,Far Rockaway,New York,"11691"
William Howard Taft High School,"-73.91098","40.840389",School Based Hospital Extension Clinic,240 East 172nd Street,Bronx,New York,"10457"
Grace Dodge Campus,"-73.882411","40.855328",School Based Diagnostic and Treatment Center Extension Clinic,2474 Crotona Avenue,Bronx,New York,"10458"
University Heights Dialysis,"-73.904521","40.856677",Diagnostic and Treatment Center Extension Clinic,2190 Jerome Avenue,Bronx,New York,"10453"
850 Grand St Campus High School,"-73.938995","40.711045",School Based Diagnostic and Treatment Center Extension Clinic,850 Grand Street,Brooklyn,New York,"11211"
Primary Care Clinic,"-74.084381","40.582493",Hospital Extension Clinic,500 Seaview Avenue,Staten Island,New York,"10305"
New Settlement School,"-73.916191","40.842426",School Based Hospital Extension Clinic,1501 Jerome Avenue,Bronx,New York,"10452"
Brooklyn Birthing Center,"-73.953056","40.608494",Diagnostic and Treatment Center,2183 Ocean Avenue,Brooklyn,New York,"11229"
FMS-Southern Manhattan Dialysis Center,"-73.997025","40.736973",Diagnostic and Treatment Center,510-526 Avenue of the Americas,New York,New York,"10011"
Bushwick Center for Renal Dialysis LLC,"-73.898109","40.676289",Diagnostic and Treatment Center,50 Sheffield Ave,Brooklyn,New York,"11207"
256 Mason Avenue Radiology,"-74.086708","40.586643",Hospital Extension Clinic,256 Mason Avenue,Staten Island,New York,"10305"
Starhill Clinic,"-73.917061","40.845989",Diagnostic and Treatment Center Extension Clinic,1600 Macombs Rd,Bronx,New York,"10452"
